2015-05-26 20:36:47,843 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:36:47,846 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:37:03,634 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:37:03,640 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:37:03,642 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:37:03,651 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:37:19,825 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-05-26 20:37:19,954 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
2015-05-26 20:37:20,030 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tt-orm/src/main/java
2015-05-26 20:37:20,036 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tt-orm/src/test/java
